"","Rank_1","Rank_2","Rank_3","Rank_4","Rank_5","Rank_6","Rank_7","Rank_8"
"OTU_39730","Root","Eukaryota","unclassified_Eukaryota",NA,NA,NA,NA,NA
"OTU_39731","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39732","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39733","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39741","Root","Eukaryota","Arthropoda","unclassified_Arthropoda",NA,NA,NA,NA
"OTU_39750","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39751","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39752","Root","Eukaryota","unclassified_Eukaryota",NA,NA,NA,NA,NA
"OTU_3980","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39802","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39806","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39807","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39808","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39821","Root","Eukaryota","unclassified_Eukaryota",NA,NA,NA,NA,NA
"OTU_3984","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39841","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39843","Root","Eukaryota","unclassified_Eukaryota",NA,NA,NA,NA,NA
"OTU_39851","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39853","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_3989","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39904","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39905","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39907","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39909","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39915","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39919","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39920","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39922","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_3993","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39934","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39937","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39939","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_3994","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39941","Root","Eukaryota","Arthropoda","Insecta","Hymenoptera","Formicidae","Hypoponera","Hypoponera sp. BIOUG15339_E12"
"OTU_39947","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_3995","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39955","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_3996","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_3997","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39971","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39977","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39981","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39982","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39984","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39989","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_3999","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39993","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39996","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39997","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39999","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
